run_id,algorithm,timestamp,simulation_minutes,fares_generated,fares_completed,fares_cancelled,cancellation_rate_%,total_revenue_gbp,avg_revenue_per_taxi_gbp,avg_path_computation_ms,num_path_computations
1,astar,2026-03-27T22:59:14.319051,1440,541,44,414,76.52,776.52,194.13,0.123,417
1,astar,2026-03-27T23:07:06.049140,1440,574,118,385,67.07,2167.74,541.93,0.224,256
1,astar,2026-03-27T23:09:01.847378,1440,550,111,373,67.82,2008.44,502.11,0.177,253
1,astar,2026-03-27T23:40:17.853035,1440,550,81,393,71.45,1448.82,362.2,0.225,319
1,astar,2026-04-03T21:02:13.808686,1440,531,127,333,62.71,2261.34,565.33,0.169,272
1,astar,2026-04-03T21:03:01.787674,1440,531,84,382,71.94,1509.12,377.28,0.154,311
1,astar,2026-04-03T21:03:47.527855,1440,556,116,367,66.01,2097.9,524.47,0.159,267
1,astar,2026-04-03T21:04:33.913224,1440,528,43,417,78.98,770.94,192.74,0.168,353
1,astar,2026-04-03T21:05:21.363092,1440,523,67,390,74.57,1263.78,315.94,0.184,287
1,astar,2026-04-03T21:08:08.943573,1440,552,55,414,75.0,1021.68,255.42,0.131,315
